"code","name","region","population"
"AFG","Afghanistan","Southern and Central Asia","22720000"
"ALB","Albania","Southern Europe","3401200"
"DZA","Algeria","Northern Africa","31471000"
"ASM","American Samoa","Polynesia","68000"
"AND","Andorra","Southern Europe","78000"
"AGO","Angola","Central Africa","12878000"
"AIA","Anguilla","Caribbean","8000"
"ATA","Antarctica","Antarctica","0"
"ATG","Antigua and Barbuda","Caribbean","68000"
"ARG","Argentina","South America","37032000"
"ARM","Armenia","Middle East","3520000"
"ABW","Aruba","Caribbean","103000"
"AUS","Australia","Australia and New Zealand","18886000"
"AUT","Austria","Western Europe","8091800"
"AZE","Azerbaijan","Middle East","7734000"
"BHS","Bahamas","Caribbean","307000"
"BHR","Bahrain","Middle East","617000"
"BGD","Bangladesh","Southern and Central Asia","129155000"
"BRB","Barbados","Caribbean","270000"
"BLR","Belarus","Eastern Europe","10236000"
"BEL","Belgium","Western Europe","10239000"
"BLZ","Belize","Central America","241000"
"BEN","Benin","Western Africa","6097000"
"BMU","Bermuda","North America","65000"
"BTN","Bhutan","Southern and Central Asia","2124000"
"BOL","Bolivia","South America","8329000"
"BIH","Bosnia and Herzegovina","Southern Europe","3972000"
"BWA","Botswana","Southern Africa","1622000"
"BVT","Bouvet Island","Antarctica","0"
"BRA","Brazil","South America","170115000"
"IOT","British Indian Ocean Territory","Eastern Africa","0"
"BRN","Brunei","Southeast Asia","328000"
"BGR","Bulgaria","Eastern Europe","8190900"
"BFA","Burkina Faso","Western Africa","11937000"
"BDI","Burundi","Eastern Africa","6695000"
"KHM","Cambodia","Southeast Asia","11168000"
"CMR","Cameroon","Central Africa","15085000"
"CAN","Canada","North America","31147000"
"CPV","Cape Verde","Western Africa","428000"
"CYM","Cayman Islands","Caribbean","38000"
"CAF","Central African Republic","Central Africa","3615000"
"TCD","Chad","Central Africa","7651000"
"CHL","Chile","South America","15211000"
"CHN","China","Eastern Asia","1277558000"
"CXR","Christmas Island","Australia and New Zealand","2500"
"CCK","Cocos (Keeling) Islands","Australia and New Zealand","600"
"COL","Colombia","South America","42321000"
"COM","Comoros","Eastern Africa","578000"
"COG","Congo","Central Africa","2943000"
"COD","Congo, The Democratic Republic of the","Central Africa","51654000"
"COK","Cook Islands","Polynesia","20000"
"CRI","Costa Rica","Central America","4023000"
"CIV","CÃ´te dâIvoire","Western Africa","14786000"
